BearID,datetimeUTC,latitude,longitude,ambient_temp,duration,sex,mass,measuredTelazol_dose,ALT,Glucose,Sodium,Potassium,WBC_count,Lymphocyte,Neutrophil,Cortisol,Glutamic_acid
1,2009-08-18 20:05:00,70.87403,-152.56478,5.01,18,M,472.73,8.46,39.67,141,140.67,4.1,6.61,8.7,82.2,118.81,13.9
2,2009-05-10 22:35:00,70.68782,-148.76762,-7.67,12,M,419.09,4.77,145.5,116.5,140,4.95,10.1,34.35,56.45,39.9,37.46
3,2009-04-29 02:37:00,70.5276,-148.04669,0.78,16.9,F,160,8.75,35,96,138,4.4,4.82,15.9,73.35,82.76,21.91
4,2009-05-06 20:48:00,70.67783,-148.23758,-8.14,12,F,173.64,8.06,123.5,119.5,137.5,4.55,5.39,10.5,80.45,36.79,16.11
5,2009-04-26 19:42:00,70.8394,-149.16917,-1.4,17.4,M,356.82,5.61,73,109,139,4.45,14.37,5.6,84.95,38.67,47.39
6,2009-05-03 23:33:00,70.51472,-147.35289,-8.04,14,M,340.91,5.87,92,154.5,139.5,4.35,10.63,3.9,84.2,44.64,96.19
7,2008-10-09 19:40:00,70.21944,-147.17751,-6.54,21,F,293.18,6.82,31.33,100.33,141.67,4.5,10.79,9.3,78.7,66.57,27.76
7,2009-04-24 23:38:00,70.28596,-146.37468,-3.14,9,F,225.91,6.2,41,121,142.5,4.35,6.64,7.55,83.1,34.75,23.95
8,2009-04-25 04:15:00,70.41333,-146.71109,-5.47,12,F,207.73,6.74,28,131.5,139.5,4.35,6.67,11.75,75.8,55.39,44.21
8,2009-08-05 21:09:00,70.87856,-152.55608,5.15,19,F,220.45,6.35,38,104,147,4.3,6.19,7.95,84.25,82.93,25.5
8,2009-10-10 19:28:00,70.88489,-152.79889,0.97,12,F,242.73,5.6,29.5,135.5,140.5,3.95,9.43,11.77,77.9,38.58,19.9
9,2009-04-27 03:14:00,70.52878,-146.47845,1.11,14,M,379.55,5.27,181.5,94,141,4.35,8.39,14.2,73.85,131.82,55.1
10,2008-10-15 21:40:00,70.18061,-145.97735,-13.53,45,F,275.91,10.87,19.33,121.67,139,4.53,11.6,5.25,85.2,84.93,12.65
10,2009-05-17 18:31:00,70.3203,-142.56378,-6.38,18,F,166.36,8.42,38,110.5,140,4.25,4.5,10.35,82.75,83,18
10,2009-10-04 21:18:00,70.3118,-147.87901,-1.21,11,F,201.82,6.94,57.5,123,142.5,4.9,7.7,4.5,87.7,60.96,22.12
11,2009-04-30 18:04:00,70.91404,-150.48166,-1.22,13,F,190,8.42,33,110,138,4.6,5.18,22.1,64.85,48.4,29.61
12,2009-04-27 18:21:00,70.54371,-148.00624,-0.11,18,F,179.09,7.82,36,140.5,140.5,4.45,5.16,8.55,79.75,76.39,19.69
13,2008-08-16 01:30:00,70.17783,-145.95154,3.71,30,F,315.45,10.78,59,116.5,144.25,4.27,7.23,10.8,83.35,133.13,14.4
14,2009-08-18 23:37:00,71.01166,-154.6095,5.39,8,F,286.36,6.98,40.5,130,141,4.3,6.73,13.2,79.7,51.38,18.19
15,2009-05-15 18:30:00,70.79341,-149.46934,-5.1,13,M,413.64,4.84,83,163,138.5,4.6,8.38,12.07,75.93,22.62,56.9
16,2009-05-09 19:15:00,70.30828,-146.2471,-7.76,8,F,179.09,7.82,21.5,143,147,4.1,4.94,24.6,61.25,42.87,12.31
17,2009-04-27 23:29:00,70.55033,-147.38646,1.78,12.4,F,194.09,7.21,37.5,160.5,138,3.95,7.62,5.35,86.15,21.69,25.11
18,2009-08-04 23:07:00,70.45549,-150.87611,14.37,21,F,238.18,5.88,46,120,151,4.9,8.25,6,86.33,35.29,21.14
18,2009-10-07 20:43:00,70.10602,-143.29286,-3.58,23,F,211.36,6.43,48,164.5,140,4.2,5.07,13.6,79.57,55.72,55.76
19,2008-10-19 20:35:00,70.48921,-147.9757,-8.56,22,F,323.64,12.36,22,111.5,141.5,4,11.02,3.9,88.45,167.56,8.1
19,2009-10-10 00:00:00,70.14345,-146.00259,0.42,32,F,372.73,7.19,65,148.5,141.5,4.1,10.22,6.88,86.3,94.67,38.2
20,2009-05-11 02:46:00,70.88473,-149.32751,-7.21,13,M,453.64,4.41,85,147,138,4.75,8.25,26.8,58.35,13.61,27.23
21,2009-05-18 20:09:00,70.188,-142.76031,-0.17,13,F,186.36,7.51,32,118.5,142,4.5,2.85,28.3,64.85,32.39,10.66
21,2009-10-18 21:58:00,70.15153,-143.25011,-3.97,43,F,331.82,13.26,27.5,119.5,139,4.6,7.93,11.2,84.3,68.68,15.78
22,2008-08-23 22:48:00,70.8768,-152.56213,3.99,8,F,226.82,8.82,28.67,94.33,148,4.8,7.46,27.5,67,163.35,16.74
22,2008-10-26 21:36:00,69.74004,-141.18136,-15.91,10,F,177.73,11.25,22,128.5,144,4.4,6.2,38.8,57.63,180.62,18.49
23,2008-08-22 19:12:00,70.166,-146.83322,4.38,17,M,486.82,4.11,43.5,77.5,142.75,4.7,5.9,34.6,55.6,NA,NA
24,2009-05-01 17:48:00,70.83697,-149.18155,-2.1,10,F,207.27,8.68,24.5,128,139,4.3,3.39,22.2,68.35,34.33,13.7
24,2009-10-03 18:24:00,77.48262,-168.1228,-9.82,24,F,209.55,9.54,29,108.5,144.5,4.1,4.86,13.57,80,61.94,15.13
25,2009-05-11 00:46:00,71.01262,-149.72049,-7.83,14,M,403.18,4.96,183.5,144,138.5,4.3,7.92,19.65,68.05,20.08,46.58
