SPECIES,COLONY,SEASON,DATE_PAIR_COUNT,TOTAL_NUMBER_PAIRS_WITH_EGGS,TOTAL_NUMBER_OF_PAIRS_WITHOUT_EGGS,TOTAL_NUMBER_OF_PAIRS,DATE_CHICK_COUNT,TOTAL_NUMBER_OF_CHICKS,TOTAL_NUMBER_OF_EGGS,TOTAL_NUMBER_OF_NESTS_WITHOUT_EGGS,DATE_FLEDGLING_COUNT,TOTAL_NUMBER_OF_FLEDGLINGS,COMMENTS
Chinstrap penguin,C15,1978-1979,NA,NA,NA,NA,NA,NA,NA,NA,12/2/1979,5,Only fledling data
Chinstrap penguin,C16,1978-1979,NA,NA,NA,NA,NA,NA,NA,NA,12/2/1979,155,Only fledling data
Chinstrap penguin,C17,1978-1979,NA,NA,NA,NA,NA,NA,NA,NA,12/2/1979,18,Only fledling data
Chinstrap penguin,C18,1978-1979,NA,NA,NA,NA,NA,NA,NA,NA,12/2/1979,23,Only fledling data
Chinstrap penguin,C79,1978-1979,14/12/1978,NA,NA,185,NA,NA,NA,NA,16/2/1979,198,Only data on total no pairs and fledgling counts
Chinstrap penguin,C80,1978-1979,14/12/1978,NA,NA,853,NA,NA,NA,NA,16/2/1979,1186,Only data on total no pairs and fledgling counts
Chinstrap penguin,C81,1978-1979,14/12/1978,NA,NA,168,NA,NA,NA,NA,16/2/1979,154,Only data on total no pairs and fledgling counts
Chinstrap penguin,C46,1978-1979,15/12/1978,NA,NA,19,NA,NA,NA,NA,NA,NA,Only data on total no pairs and fledgling counts
Chinstrap penguin,C47,1978-1979,15/12/1978,NA,NA,566,NA,NA,NA,NA,NA,NA,Only data on total no pairs and fledgling counts
Chinstrap penguin,Outer Island,1979-1980,6/12/1979,NA,NA,24,NA,NA,NA,NA,NA,NA,Only data on total no pairs and fledgling counts
Chinstrap penguin,C15,1979-1980,8/12/1979,59,8,67,23/1/1980,71,6,NA,5/3/1980,29,76 chicks and 16 eggs on 9th Jan 1980
Chinstrap penguin,C16,1979-1980,8/12/1979,NA,NA,151,23/1/1980,153,16,NA,5/3/1980,36,189 chicks and 45 eggs on 9th jan 1980
Chinstrap penguin,C17,1979-1980,8/12/1979,NA,NA,24,23/1/1980,24,4,NA,5/3/1980,5,24 chicks and 11 eggs on 9th January 1980
Chinstrap penguin,C18,1979-1980,8/12/1979,NA,NA,27,23/1/1980,16,4,NA,5/3/1980,7,21 chicks and 10 eggs on 9th January 1980
Chinstrap penguin,C46,1979-1980,8/12/1979,NA,NA,31,21/1/1980,29,4,NA,5/3/1980,10,NA
Chinstrap penguin,C47,1979-1980,8/12/1979,NA,NA,596,21/1/1980,677,38,NA,5/3/1980,134,743 chicks and 191 eggs on 9th January 1980
Chinstrap penguin,C79,1979-1980,8/12/1979,NA,NA,1001,21/1/1980,187,5,NA,5/3/1980,197,NA
Chinstrap penguin,C80,1979-1980,8/12/1979,NA,NA,169,21/1/1980,1167,101,NA,5/3/1980,40,NA
Chinstrap penguin,C81,1979-1980,8/12/1979,NA,NA,163,21/1/1980,192,8,NA,5/3/1980,47,NA
Chinstrap penguin,C46,1980-1981,18/12/1980,29,5,34,24/1/1981,18,6,NA,11/3/1981,8,NA
Chinstrap penguin,C47,1980-1981,18/12/1980,490,45,535,24/1/1981,230,56,NA,11/3/1981,21,NA
Chinstrap penguin,C79,1980-1981,18/12/1980,153,8,161,NA,NA,NA,NA,11/3/1981,6,No egg/chick counts
Chinstrap penguin,C80,1980-1981,18/12/1980,654,20,674,NA,NA,NA,NA,11/3/1981,24,No egg/chick counts
Chinstrap penguin,C81,1980-1981,18/12/1980,146,6,152,24/1/1981,70,16,NA,11/3/1981,10,NA
Chinstrap penguin,C15,1980-1981,29/12/1980,48,4,52,2/2/1981,14,10,NA,11/3/1981,0,NA
Chinstrap penguin,C16,1980-1981,29/12/1980,115,10,125,2/2/1981,44,10,NA,11/3/1981,17,NA
Chinstrap penguin,C17,1980-1981,29/12/1980,24,2,26,2/2/1981,5,3,NA,11/3/1981,3,NA
Chinstrap penguin,C18,1980-1981,29/12/1980,16,5,21,2/2/1981,2,1,NA,11/3/1981,2,NA
Chinstrap penguin,Outer Island,1980-1981,29/12/1980,25,4,29,24/1/1981,13,3,NA,11/3/1981,4,NA
Chinstrap penguin,Outer Island,1981-1982,21/12/1981,36,1,37,2/2/1982,45,0,NA,NA,NA,No fledgling data
Chinstrap penguin,C79,1981-1982,23/12/1981,164,10,174,23/1/1982,275,25,NA,3/3/1982,163,NA
Chinstrap penguin,C80,1981-1982,23/12/1981,909,51,960,23/1/1982,1093,108,NA,3/3/1982,640,NA
Chinstrap penguin,C46,1981-1982,24/12/1981,55,2,57,27/1/1982,57,5,NA,3/3/1982,38,NA
Chinstrap penguin,C47,1981-1982,24/12/1981,553,28,581,27/1/1982,667,40,NA,4/3/1982,492,NA
Chinstrap penguin,C81,1981-1982,24/12/1981,181,15,196,23/1/1982,238,22,NA,3/3/1982,157,NA
Chinstrap penguin,C15,1981-1982,25/12/1981,7,4,11,28/1/1982,4,2,NA,6/3/1982,4,NA
Chinstrap penguin,C16,1981-1982,25/12/1981,189,10,199,28/1/1982,224,18,NA,6/3/1982,83,Fledglings from C16+C17
Chinstrap penguin,C17,1981-1982,25/12/1981,6,3,9,28/1/1982,7,0,NA,NA,NA,For fledglings see data for C16
Chinstrap penguin,C18,1981-1982,25/12/1981,24,2,26,28/1/1982,21,0,NA,6/3/1982,10,NA
Chinstrap penguin,C15,1982-1983,4/12/1982,NA,NA,70,15/1/1983,92,20,NA,NA,NA,No fledgling data
Chinstrap penguin,C16,1982-1983,4/12/1982,NA,NA,193,15/1/1983,274,40,NA,NA,NA,No fledgling data
Chinstrap penguin,C17,1982-1983,4/12/1982,NA,NA,8,15/1/1983,12,0,NA,NA,NA,No fledgling data
Chinstrap penguin,C18,1982-1983,NA,NA,NA,NA,15/1/1983,29,11,NA,NA,NA,No pair/fledgling data
