Lab_ID,Host_species,H1N2,H2N2,H3N2,H4N2,H5N2,H6N2,H7N3,H8N4,H9N2,H10N2,H11N2,H12N2,H13N6,H14N2,H16N3,HI_Result
CN-481,Greater White-fronted Goose,320,<10,<10,<10,<10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,Pos
CN-530,Greater White-fronted Goose,<10,<10,<10,<10,<10,20,<10,<10,20,<10,<10,<10,<10,<10,<10,Pos
CN-484,Greater White-fronted Goose,40,<10,<10,<10,<10,40,<10,<10,40,<10,<10,<10,<10,<10,<10,Pos
CS-423,Greater White-fronted Goose,<10,<10,<10,<10,<10,40,<10,<10,20,<10,<10,<10,<10,<10,<10,Pos
LO-188,Greater White-fronted Goose,20,<10,<10,<10,<10,80,<10,<10,20,<10,<10,<10,<10,<10,<10,Pos
CN-479,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,20,<10,<10,<10,<10,<10,<10,Pos
CN-485,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,40,<10,<10,<10,<10,<10,<10,Pos
CN-520,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
CN-521,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
CN-523,Greater White-fronted Goose,40,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Pos
CS-390,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
LO-155,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
LO-245,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
LO-567,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
LO-586,Greater White-fronted Goose,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
1038-60113,Pacific Loon,<10,<10,<10,10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Pos
1227-94282,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
1227-94379,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
13OFF16,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
1517-79048,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
1587-59749,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
1997-10182,Pacific Loon,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,Neg
