island,pit,depth_cm,nucleotide,no_reads,total_no_reads,relative_abundance_percentage
Signy Island,1,2,DNA,2085,6728,30.98989298
Signy Island,1,2,DNA,744,3675,20.24489796
Signy Island,1,2,DNA,571,2827,20.19808985
Signy Island,1,2,DNA,669,3236,20.6736712
Signy Island,1,2,DNA,1224,4958,24.68737394
Signy Island,1,4,DNA,1928,3876,49.74200206
Signy Island,1,4,DNA,1081,2464,43.87175325
Signy Island,1,4,DNA,1376,3251,42.32543833
Signy Island,1,4,DNA,1031,2977,34.63218005
Signy Island,1,4,DNA,1024,3019,33.91851606
Signy Island,1,8,DNA,5040,7638,65.98586017
Signy Island,1,8,DNA,2897,4678,61.92817443
Signy Island,1,8,DNA,2855,5258,54.29821225
Signy Island,1,8,DNA,2429,5127,47.37663351
Signy Island,1,8,DNA,4208,6767,62.18412886
Signy Island,2,2,DNA,1260,4619,27.27863174
Signy Island,2,2,DNA,1091,3751,29.08557718
Signy Island,2,2,DNA,679,3318,20.46413502
Signy Island,2,2,DNA,753,3315,22.71493213
Signy Island,2,2,DNA,739,3067,24.09520704
Signy Island,2,4,DNA,611,2313,26.41591007
Signy Island,2,4,DNA,1122,2781,40.34519957
Signy Island,2,4,DNA,835,2539,32.88696337
Signy Island,2,4,DNA,1328,3727,35.6318755
Signy Island,2,4,DNA,992,2707,36.64573328
Signy Island,2,8,DNA,1882,4808,39.14309484
Signy Island,2,8,DNA,2772,4480,61.875
Signy Island,2,8,DNA,2078,4242,48.9863272
Signy Island,2,8,DNA,2125,4532,46.88879082
Signy Island,2,8,DNA,3114,5354,58.16212178
Signy Island,3,2,DNA,3179,8569,37.09884467
Signy Island,3,2,DNA,1054,5441,19.37143907
Signy Island,3,2,DNA,1498,5075,29.51724138
Signy Island,3,2,DNA,1497,5978,25.04182001
Signy Island,3,2,DNA,1517,6021,25.19515031
Signy Island,3,4,DNA,5518,10292,53.61445783
Signy Island,3,4,DNA,2210,5423,40.7523511
Signy Island,3,4,DNA,2496,5122,48.73096447
Signy Island,3,4,DNA,2868,6707,42.76129417
Signy Island,3,4,DNA,2415,5727,42.1686747
