COLONY,LOCATION,"LATITUDE GPS POSITION (Garmin GPS 60, accurracy approx 20 ft)","LONGITUDE GPS POSITION (Garmin GPS 60, accurracy approx 20 ft)",
C79,"Gourlay, East",-60.72875,-45.584617,
79A,"Gourlay, East",-60.728817,-45.585067,
C80,"Gourlay, East",-60.728983,-45.58395,
C81,"Gourlay, East",-60.72935,-45.584167,
C16,Fyr Channel,-60.727333,-45.671083,
C17,Fyr Channel,-60.72735,-45.671,
C18,Fyr Channel,-60.72755,-45.671217,
C18A,Fyr Channel,-60.727217,-45.671467,
C15,Moyes Corrie,-60.73375,-45.659867,
C26,Moyes Corrie,-60.731583,-45.659867,
C69,"Gourlay, East",-60.731183,-45.58685,
C46,"Gourlay, West",-60.7292,-45.5912,
C47,"Gourlay, West",-60.729517,-45.591267,
C66,"Gourlay, West",-60.7309,-45.589083,
