BearID,datetimeUTC,Event,Rectal_temp
42,2008-10-08 19:38:00,first sighting,NA
42,2008-10-08 19:43:00,ataxia,NA
42,2008-10-08 19:44:00,down,NA
42,2008-10-08 19:53:00,rectal temp,38.9
44,2008-10-10 20:35:00,first sighting,NA
44,2008-10-10 20:46:00,ataxia,NA
44,2008-10-10 21:14:00,down,NA
44,2008-10-10 21:55:00,rectal temp,37.5
50,2008-10-17 17:47:00,first sighting,NA
50,2008-10-17 18:09:00,down,NA
46,2008-10-18 19:22:00,first sighting,NA
46,2008-10-18 19:40:00,ataxia,NA
46,2008-10-18 19:46:00,down,NA
46,2008-10-18 20:09:00,rectal temp,38.7
19,2008-10-19 20:35:00,first sighting,NA
19,2008-10-19 20:56:00,ataxia,NA
19,2008-10-19 20:57:00,down,NA
31,2008-10-20 18:48:00,first sighting,NA
31,2008-10-20 19:19:00,ataxia,NA
31,2008-10-20 19:20:00,down,NA
31,2008-10-20 19:46:00,rectal temp,37.5
22,2008-10-26 21:36:00,first sighting,NA
22,2008-10-26 21:45:00,ataxia,NA
22,2008-10-26 21:46:00,down,NA
22,2008-10-26 22:03:00,rectal temp,40.2
24,2009-10-03 18:24:00,first sighting,NA
24,2009-10-03 18:48:00,down,NA
24,2009-10-03 19:18:00,rectal temp,38.9
34,2009-10-07 19:25:00,first sighting,NA
34,2009-10-07 19:48:00,ataxia,NA
34,2009-10-07 19:55:00,down,NA
34,2009-10-07 20:33:00,rectal temp,37.4
18,2009-10-07 20:43:00,first sighting,NA
18,2009-10-07 21:04:00,ataxia,NA
18,2009-10-07 21:06:00,down,NA
18,2009-10-07 21:26:00,rectal temp,39.9
8,2009-10-10 19:28:00,first sighting,NA
8,2009-10-10 19:40:00,down,NA
8,2009-10-10 20:27:00,rectal temp,37.5
29,2009-10-11 18:45:00,first sighting,NA
29,2009-10-11 18:52:00,ataxia,NA
29,2009-10-11 18:56:00,down,NA
29,2009-10-11 19:05:00,rectal temp,34.7
51,2009-10-12 00:01:00,rectal temp,37.1
51,2009-10-12 22:11:00,first sighting,NA
51,2009-10-12 23:32:00,down,NA
52,2009-10-18 18:47:00,first sighting,NA
52,2009-10-18 19:03:00,ataxia,NA
52,2009-10-18 19:13:00,down,NA
52,2009-10-18 19:38:00,rectal temp,36.9
