species,season,colony,date_pair_count,total_number_pairs_with_eggs,total_number_of_pairs_without_eggs,total_number_of_pairs,date_chick_count,total_number_of_chicks,total_number_of_eggs,total_number_of_nests_without_eggs,date_fledgling_count,total_number_of_fledglings,comments
Adelie penguin,A41,1978-1979,29/11/1978,NA,NA,379,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A1,1978-1979,5/12/1978,NA,NA,628,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A2,1978-1979,5/12/1978,NA,NA,386,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A3,1978-1979,5/12/1978,NA,NA,238,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A4,1978-1979,5/12/1978,NA,NA,242,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A1,1979-1980,16/11/1979,NA,NA,780,24/12/1979,999,57,NA,2/2/1980,376,NA
Adelie penguin,A2,1979-1980,16/11/1979,NA,NA,496,24/12/1979,606,52,NA,2/2/1980,234,NA
Adelie penguin,A3,1979-1980,16/11/1979,NA,NA,248,24/12/1979,319,34,NA,2/2/1980,135,NA
Adelie penguin,A4,1979-1980,16/11/1979,NA,NA,264,24/12/1979,284,6,NA,2/2/1980,142,NA
Adelie penguin,A41,1979-1980,17/11/1979,NA,NA,481,20/12/1979,622,37,NA,2/2/1980,242,NA
Adelie penguin,A1,1980-1981,11/11/1980,662,62,724,19/12/1980,1089,60,NA,28/1/1981,495,2 counts 547 + 443
Adelie penguin,A2,1980-1981,11/11/1980,352,20,372,26/12/1980,671,54,NA,28/1/1981,355,2 counts 400 + 310
Adelie penguin,A3,1980-1981,11/11/1980,291,48,339,19/12/1980,414,49,NA,28/1/1981,266,2 counts 275 + 157
Adelie penguin,A4,1980-1981,11/11/1980,271,20,291,19/12/1980,415,27,NA,28/1/1981,180,2 counts 158 + 202; no data on nests with no eggs
Adelie penguin,A1,1981-1982,22/11/1981,782,25,807,22/12/1981,1057,61,NA,28/1/1982,922,NA
Adelie penguin,A2,1981-1982,22/11/1981,514,12,526,22/12/1981,657,51,NA,28/1/1982,547,NA
Adelie penguin,A3,1981-1982,22/11/1981,291,24,315,22/12/1981,380,39,NA,28/1/1982,181,NA
Adelie penguin,A4,1981-1982,22/11/1981,235,8,243,22/12/1981,270,32,NA,28/1/1982,266,NA
Adelie penguin,A1,1982-1983,19/11/1982,NA,NA,854,27/12/1982,1041,NA,NA,24/1/1983,605,Only total number of pairs + chick and fledgling count made
Adelie penguin,A2,1982-1983,19/11/1982,NA,NA,619,27/12/1982,747,NA,NA,28/1/1982,456,Only total no of pairs + chick and fledgling count made
Adelie penguin,A3,1982-1983,19/11/1982,NA,NA,321,27/12/1982,347,NA,NA,28/1/1982,243,Only total no of pairs + chick and fledgling count made
