Sample ID,Type,Volume [L],Mid sampling,Season,Year,Latitude,Longitude,Salinity,Temperature (°C),224Ra (dpm/100L),224Ra (err),223Ra (dpm/100L),223Ra (err),228Ra (dpm/100L),228Ra (err),226Ra (dpm/100L),226Ra (err)
Lag1,Lagoon,36.1,8/12/2021 17:15,Open Water,2021,70.504366,-149.642068,9.2,6.42,7.3,0.7,0.56,0.11,5.691860159,1.155924011,4.516,0.139
Lag2,Lagoon,38.27,8/12/2021 18:00,Open Water,2021,70.508338,-149.642745,9.7,6.54,9.5,0.9,0.42,0.11,6.613945341,1.00747597,7.533,0.166
Lag3S,Lagoon,36.56,8/12/2021 19:58,Open Water,2021,70.512012,-149.638917,9.1,6.65,10.3,0.5,0.65,0.12,8.213046255,0.462107439,6.579,0.126
Lag3D,Lagoon,17.57,8/12/2021 19:36,Open Water,2021,70.512012,-149.638917,21.9,6.26,16.9,1.8,2.47,0.34,15.02709843,2.496576909,13.149,0.639
Lag4,Lagoon,36.52,8/12/2021 20:33,Open Water,2021,70.518553,-149.629691,13.1,6.42,8.3,0.6,0.44,0.12,7.39812782,0.922420096,7.024,0.201
Lag5,Lagoon,38.18,8/13/2021 17:00,Open Water,2021,70.5319,-149.61217,13.8,6.18,7,0.5,0.55,0.13,6.94519289,0.899791775,6.577,0.158
Lag6,Lagoon,37.41,8/13/2021 17:40,Open Water,2021,70.54624,-149.59097,14.4,6.2,6.7,0.6,0.25,0.08,,,5.659,0.139
Lag7,Lagoon,32.55,8/13/2021 18:13,Open Water,2021,70.55538,-149.5808,15.3,6.2,9.1,0.7,0.73,0.12,,,7.601,0.148
Lag8,Lagoon,39.57,8/13/2021 20:13,Open Water,2021,70.50815,-149.6468,12.1,6.76,10.3,0.5,0.92,0.15,,,7.08,0.343
Lag9,Lagoon,39.47,8/13/2021 20:39,Open Water,2021,70.50794,-149.63765,11.5,6.79,6.5,0.5,0.75,0.13,5.744031372,1.894065398,4.737,0.138
TAd1,Lagoon Shallows,40.15,8/13/2021 19:08,Open Water,2021,70.504,-149.645976,14.3,6.82,10.8,0.8,0.79,0.14,15.02709843,2.496576909,9.531,0.284
