lab_ID,field_ID,host_species,age,sampling_date,location,location_notes,lat,long,test_date,sample_ABS,neg_ctrl,S_N_ratio,result,replicate
CO-005,1987-09608,Black Brant,AHY,6/17/2014,Colville River Delta,,70.4196,-150.3969,7/23/2015,0.2338,1.12256,0.20827,Pos,1
CO-007,1987-09939,Black Brant,AHY,6/18/2014,Colville River Delta,,70.4208,-150.3918,7/23/2015,0.10841,1.12256,0.09658,Pos,1
CO-008,1987-09955,Black Brant,AHY,6/20/2014,Colville River Delta,,70.4142,-150.3853,7/23/2015,0.258,1.12256,0.22983,Pos,1
CO-009,1987-09986,Black Brant,AHY,6/18/2014,Colville River Delta,,70.4224,-150.3808,7/23/2015,0.80472,1.12256,0.71687,Neg,1
CO-010,1987-09992,Black Brant,AHY,6/19/2014,Colville River Delta,,70.4148,-150.3941,7/23/2015,0.78374,1.12256,0.69817,Neg,1
CO-011,1987-11001,Black Brant,AHY,6/19/2014,Colville River Delta,,70.4149,-150.3936,7/23/2015,0.11797,1.12256,0.10509,Pos,1
CO-012,1987-21914,Black Brant,AHY,6/20/2014,Colville River Delta,,70.4139,-150.3918,7/23/2015,0.15172,1.12256,0.13516,Pos,1
CO-068,1987-20810,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.17685,0.99258,0.17817,Pos,1
CO-069,1987-11100,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,1.06228,0.99258,1.07021,Neg,1
CO-070,1987-20734,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,1.03884,0.99258,1.0466,Neg,1
CO-071,1987-20916,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.82161,0.99258,0.82775,Neg,1
CO-072,1987-20199,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.43782,0.99258,0.44109,Pos,1
CO-073,1987-20921,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.96889,0.99258,0.97613,Neg,1
CO-074,1987-20796,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.34665,0.99258,0.34924,Pos,1
CO-075,1987-20799,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.09983,0.99258,0.10058,Pos,1
CO-076,1987-20844,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.14134,0.99258,0.14239,Pos,1
