island,pit,depth_cm,pH_water,moisture_percentage,total_C_concentration_percentage_dwt,total_N_concentration_percentage_dwt
Signy Island,1,2,4.64,70.02188184,37.92216874,3.447703117
Signy Island,1,4,3.97,58.40163934,29.67239525,2.791864645
Signy Island,1,8,4.29,63.74622356,28.55700102,2.633000877
Signy Island,2,2,5.45,65.97938144,36.60845217,3.321110602
Signy Island,2,4,4.52,64.7810219,40.31334315,3.600611361
Signy Island,2,8,4.56,68.98047722,30.04564922,3.676620616
Signy Island,3,2,4.13,73.23688969,41.62167659,3.493828069
Signy Island,3,4,3.55,68.08510638,34.0531096,2.972391437
Signy Island,3,8,3.49,62.20159151,25.60093551,2.294824844
Leonie Island,1,2,4.46,72.67605634,44.56717091,5.36134275
Leonie Island,1,4,4.27,70.91932458,41.76479007,4.898210316
Leonie Island,1,8,4,61.61449753,42.46692487,4.714322941
Leonie Island,2,2,4.39,76.19047619,43.63538562,4.233720351
Leonie Island,2,4,4.25,74.53531599,41.69384793,4.556330835
Leonie Island,2,8,4.25,64.61731493,42.34967459,4.811719484
Leonie Island,3,2,5.51,75.07936508,29.60264578,2.990084996
Leonie Island,3,4,5.34,61.67108753,26.39611615,2.779377813
Leonie Island,3,8,5.23,58.6490939,23.59920031,2.486355213
