Type of measurement taken,Minimum fluorescence,Maximum fluorescence,Photosynthetically active radiation,PSII quantum yield,Electron transport rate,Replicate number,Treatment type,Stern-volmer non-photochemical quanching,Maximum rate of electron transport,Light uilitisation efficiency,Light saturation coefficient
FO,677,1244,0,0.456,0,r1,0,0,124.7589812,0.192366495,648.5483927
F,774,1149,256,0.326,41.7,r1,0,0.082680592,NA,NA,NA
F,797,1130,376,0.295,55.5,r1,0,0.100884956,NA,NA,NA
F,807,1101,573,0.267,76.5,r1,0,0.129881926,NA,NA,NA
F,823,1060,854,0.224,95.6,r1,0,0.173584906,NA,NA,NA
F,838,1023,1210,0.181,109.5,r1,0,0.216031281,NA,NA,NA
F,856,998,1688,0.142,119.8,r1,0,0.246492986,NA,NA,NA
F,881,970,2749,0.092,126.5,r1,0,0.282474227,NA,NA,NA
F,908,963,4016,0.057,114.5,r1,0,0.291796469,NA,NA,NA
FO,761,1618,0,0.53,0,r2,0,0,126.301251,0.259513615,486.6844878
F,912,1528,256,0.403,51.6,r2,0,0.058900524,NA,NA,NA
F,940,1425,376,0.34,63.9,r2,0,0.135438596,NA,NA,NA
F,960,1391,573,0.31,88.8,r2,0,0.163191948,NA,NA,NA
F,989,1323,854,0.252,107.6,r2,0,0.22297808,NA,NA,NA
F,1010,1240,1210,0.185,111.9,r2,0,0.30483871,NA,NA,NA
F,1023,1178,1688,0.132,111.4,r2,0,0.373514431,NA,NA,NA
F,1043,1167,2749,0.106,145.7,r2,0,0.386461011,NA,NA,NA
F,1070,1131,4016,0.054,108.4,r2,0,0.430592396,NA,NA,NA
FO,1035,2030,0,0.49,0,r3,0,0,142.4243434,0.205954823,691.5319643
F,1207,1914,256,0.369,47.2,r3,0,0.060606061,NA,NA,NA
F,1241,1858,376,0.332,62.4,r3,0,0.092572659,NA,NA,NA
F,1270,1805,573,0.296,84.8,r3,0,0.12465374,NA,NA,NA
F,1305,1733,854,0.247,105.5,r3,0,0.171379111,NA,NA,NA
